num_of_files,total_lines,mod_lines,label,insertions,deletions
11,110,1008,None,277,21
18,88,2100,None,950,7
8,195,745,non-bug,130,75
36,197,3371,None,125,202
4,364,37,non-bug,4,3
1,67,2,non-bug,1,1
6,62,14,non-bug,8,6
7,170,82,None,75,7
8,158,458,None,316,9
1,47,2,None,1,1
4,205,61,non-bug,32,27
4,12625,8,None,2,2
4,52,156,None,155,1
1,0,1,None,1,0
2,0,21,None,19,2
954,110,44844,None,12063,12063
17,173,4977,None,2222,92
22,84,683,None,333,345
8,120,52,None,16,36
9,151,580,non-bug,561,19
14,110,1909,non-bug,1179,709
3,67,121,None,73,16
6,68,187,None,112,1
1,919,58,None,0,0
2,0,15,None,12,3
43,981,4749,non-bug,222,276
91,116,3985,non-bug,585,406
24,1010,3437,non-bug,1965,235
19,88,140,None,41,41
107,999,8828,None,3474,3991
51,89,4451,None,4451,0
57,177,3253,non-bug,744,798
57,177,3253,non-bug,744,798
2,278,141,non-bug,7,4
2,278,129,non-bug,5,3
2,276,138,non-bug,3,2
38,390,4534,None,2099,2191
56,908,3471,non-bug,198,131
85,996,3833,non-bug,134,116
1,0,2,non-bug,1,1
11,295,1188,non-bug,186,158
60,995,3641,non-bug,196,171
6,121,377,None,96,1
1,0,2,non-bug,1,1
1,0,474,None,474,0
1,53,2,non-bug,1,1
2,0,86,None,41,45
5,2476,180,None,102,2
111,961,3633,non-bug,1731,1801
49,351,2381,non-bug,872,816
9,2451,1899,None,8,1673
1,0,1,non-bug,1,0
26,965,1088,None,484,135
4,118,380,None,140,1
129,942,5499,bug,2561,1249
1,198,7,None,5,2
1,1704,5,None,4,1
1,2904,6,None,5,1
1,78,5,None,1,4
3,195,12,None,0,8
5,792,46,None,19,27
2,65,7,None,6,1
2,0,196,None,0,88
1,106,4,None,2,2
7,162,23,None,9,12
1,746,6,None,0,0
1,13207,9,None,4,5
2,54,72,None,26,46
12,158,54,None,0,10
88,215,4187,None,1794,1286
32,26,2071,None,1377,415
